_id,Creditability,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex & Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age (years),Other installment plans,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
241,Yes,no checking account,60,existing credits paid back duly till now,car (new),10366,< 100 DM,>= 7 years,2,male : single,none,4,building society savings agreement/ life insurance,42,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
242,Yes,no checking account,18,existing credits paid back duly till now,business,1568,100 <= ... < 500 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,24,none,rent,1,unskilled - resident,1,No,Yes
243,Yes,no checking account,18,critical account/ other credits existing (not at this bank),radio/television,629,500 <= ... < 1000 DM,>= 7 years,4,male : single,none,3,building society savings agreement/ life insurance,32,bank,own,2,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
244,Yes,no checking account,6,all credits at this bank paid back duly,radio/television,1750,500 <= ... < 1000 DM,>= 7 years,2,male : single,none,4,building society savings agreement/ life insurance,45,bank,own,1,unskilled - resident,2,No,Yes
245,Yes,no checking account,24,existing credits paid back duly till now,car (used),3488,100 <= ... < 500 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,4,car or other,23,none,own,1,skilled employee / official,1,No,Yes
246,Yes,no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1800,< 100 DM,1 <= ... < 4 years,4,male : single,none,2,car or other,24,none,own,2,skilled employee / official,1,No,Yes
247,Yes,no checking account,24,delay in paying off in the past,furniture/equipment,4151,100 <= ... < 500 DM,1 <= ... < 4 years,2,male : single,none,3,building society savings agreement/ life insurance,35,none,own,2,skilled employee / official,1,No,Yes
248,Yes,0 <= ... < 200 DM,15,existing credits paid back duly till now,repairs,2631,100 <= ... < 500 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,real estate,25,none,own,1,unskilled - resident,1,No,Yes
249,Yes,no checking account,21,existing credits paid back duly till now,car (used),5248,unknown/ no savings account,1 <= ... < 4 years,1,male : single,none,3,car or other,26,none,own,1,skilled employee / official,1,No,Yes
250,Yes,0 <= ... < 200 DM,18,delay in paying off in the past,car (new),2899,unknown/ no savings account,>= 7 years,4,male : single,none,4,car or other,43,none,own,1,skilled employee / official,2,No,Yes
251,Yes,0 <= ... < 200 DM,18,delay in paying off in the past,repairs,6204,< 100 DM,1 <= ... < 4 years,2,male : single,none,4,real estate,44,none,own,1,unskilled - resident,2,Yes,Yes
252,Yes,no checking account,12,existing credits paid back duly till now,radio/television,804,< 100 DM,>= 7 years,4,male : single,none,4,car or other,38,none,own,1,skilled employee / official,1,No,Yes
253,Yes,no checking account,36,existing credits paid back duly till now,radio/television,3595,< 100 DM,>= 7 years,4,male : single,none,2,car or other,28,none,own,1,skilled employee / official,1,No,Yes
254,Yes,no checking account,36,critical account/ other credits existing (not at this bank),car (used),5711,>= 1000 DM,>= 7 years,4,male : single,none,2,car or other,38,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
255,Yes,... >= 200 DM / salary assignments for at least 1 year,15,existing credits paid back duly till now,business,2687,< 100 DM,4 <= ... < 7 years,2,male : single,none,4,building society savings agreement/ life insurance,26,none,rent,1,skilled employee / official,1,Yes,Yes
256,Yes,... < 0 DM,15,delay in paying off in the past,furniture/equipment,3643,< 100 DM,>= 7 years,1,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,27,none,own,2,unskilled - resident,1,No,Yes
257,Yes,no checking account,10,critical account/ other credits existing (not at this bank),furniture/equipment,2146,< 100 DM,< 1 year,1,female : divorced/separated/married,none,3,real estate,23,none,rent,2,skilled employee / official,1,No,Yes
258,Yes,... < 0 DM,10,existing credits paid back duly till now,radio/television,2315,< 100 DM,>= 7 years,3,male : single,none,4,real estate,52,none,own,1,unskilled - resident,1,No,Yes
259,Yes,no checking account,5,existing credits paid back duly till now,business,3448,< 100 DM,4 <= ... < 7 years,1,male : single,none,4,real estate,74,none,own,1,unskilled - resident,1,No,Yes
260,Yes,no checking account,15,existing credits paid back duly till now,furniture/equipment,2708,< 100 DM,< 1 year,2,male : single,none,3,building society savings agreement/ life insurance,27,bank,own,2,unskilled - resident,1,No,Yes
261,Yes,no checking account,11,critical account/ other credits existing (not at this bank),car (new),1393,< 100 DM,< 1 year,4,female : divorced/separated/married,none,4,car or other,35,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,No,Yes
262,Yes,... >= 200 DM / salary assignments for at least 1 year,10,existing credits paid back duly till now,furniture/equipment,1275,< 100 DM,< 1 year,4,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,23,none,own,1,skilled employee / official,1,No,Yes
263,Yes,no checking account,9,existing credits paid back duly till now,furniture/equipment,1313,< 100 DM,>= 7 years,1,male : single,none,4,car or other,20,none,own,1,skilled employee / official,1,No,Yes
264,Yes,no checking account,12,existing credits paid back duly till now,radio/television,1493,< 100 DM,< 1 year,4,female : divorced/separated/married,none,3,car or other,34,none,own,1,skilled employee / official,2,No,Yes
265,Yes,no checking account,22,existing credits paid back duly till now,radio/television,2675,500 <= ... < 1000 DM,>= 7 years,3,male : single,none,4,car or other,40,none,own,1,skilled employee / official,1,No,Yes
266,Yes,0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,2118,< 100 DM,1 <= ... < 4 years,2,male : single,none,2,real estate,37,none,own,1,unskilled - resident,2,No,Yes
267,Yes,no checking account,36,existing credits paid back duly till now,car (new),909,500 <= ... < 1000 DM,>= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,36,none,own,1,skilled employee / official,1,No,Yes
268,Yes,no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,1258,< 100 DM,< 1 year,2,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,22,none,rent,2,unskilled - resident,1,No,Yes
269,Yes,no checking account,15,all credits at this bank paid back duly,radio/television,1569,100 <= ... < 500 DM,>= 7 years,4,male : single,none,4,car or other,34,bank,own,1,unskilled - resident,2,No,Yes
270,Yes,no checking account,6,existing credits paid back duly till now,car (used),1236,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male : single,none,4,building society savings agreement/ life insurance,50,none,rent,1,skilled employee / official,1,No,Yes
271,Yes,no checking account,36,delay in paying off in the past,furniture/equipment,7678,500 <= ... < 1000 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,4,car or other,40,none,own,2,skilled employee / official,1,Yes,Yes
272,Yes,no checking account,6,existing credits paid back duly till now,repairs,660,500 <= ... < 1000 DM,4 <= ... < 7 years,2,male : married/widowed,none,4,real estate,23,none,rent,1,unskilled - resident,1,No,Yes
273,Yes,no checking account,24,existing credits paid back duly till now,furniture/equipment,2835,500 <= ... < 1000 DM,>= 7 years,3,male : single,none,4,building society savings agreement/ life insurance,53,none,own,1,skilled employee / official,1,No,Yes
274,Yes,no checking account,24,existing credits paid back duly till now,car (used),2670,< 100 DM,>= 7 years,4,male : single,none,4,car or other,35,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
275,Yes,no checking account,12,all credits at this bank paid back duly,retraining,3447,500 <= ... < 1000 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,3,real estate,35,none,own,1,unskilled - resident,2,No,Yes
276,Yes,no checking account,15,existing credits paid back duly till now,radio/television,3568,< 100 DM,>= 7 years,4,female : divorced/separated/married,none,2,car or other,54,bank,rent,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
277,Yes,0 <= ... < 200 DM,21,critical account/ other credits existing (not at this bank),business,3652,< 100 DM,4 <= ... < 7 years,2,male : single,none,3,building society savings agreement/ life insurance,27,none,own,2,skilled employee / official,1,No,Yes
278,Yes,... < 0 DM,24,existing credits paid back duly till now,radio/television,3660,< 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,car or other,28,none,own,1,skilled employee / official,1,No,Yes
279,Yes,... >= 200 DM / salary assignments for at least 1 year,9,existing credits paid back duly till now,radio/television,1126,100 <= ... < 500 DM,>= 7 years,2,male : divorced/separated,none,4,real estate,49,none,own,1,skilled employee / official,1,No,Yes
280,Yes,... >= 200 DM / salary assignments for at least 1 year,6,delay in paying off in the past,radio/television,683,< 100 DM,< 1 year,2,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,29,bank,own,1,skilled employee / official,1,No,Yes
281,Yes,... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,furniture/equipment,2251,< 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,car or other,46,none,own,1,unskilled - resident,1,No,Yes
282,Yes,no checking account,12,existing credits paid back duly till now,car (used),4675,unknown/ no savings account,< 1 year,1,female : divorced/separated/married,none,4,car or other,20,none,rent,1,skilled employee / official,1,No,Yes
283,Yes,0 <= ... < 200 DM,21,delay in paying off in the past,car (new),2353,< 100 DM,1 <= ... < 4 years,1,male : divorced/separated,none,4,building society savings agreement/ life insurance,47,none,own,2,skilled employee / official,1,No,Yes
284,Yes,... < 0 DM,21,existing credits paid back duly till now,radio/television,3357,>= 1000 DM,< 1 year,4,female : divorced/separated/married,none,2,car or other,29,bank,own,1,skilled employee / official,1,No,Yes
285,Yes,no checking account,6,existing credits paid back duly till now,car (new),672,< 100 DM,unemployed,1,female : divorced/separated/married,none,4,real estate,54,none,own,1,unemployed/ unskilled - non-resident,1,Yes,Yes
286,Yes,... < 0 DM,6,critical account/ other credits existing (not at this bank),radio/television,338,500 <= ... < 1000 DM,>= 7 years,4,male : single,none,4,car or other,52,none,own,2,skilled employee / official,1,No,Yes
287,Yes,no checking account,9,existing credits paid back duly till now,radio/television,2697,< 100 DM,1 <= ... < 4 years,1,male : single,none,2,real estate,32,none,own,1,skilled employee / official,2,No,Yes
288,Yes,no checking account,9,existing credits paid back duly till now,car (new),2507,500 <= ... < 1000 DM,>= 7 years,2,male : single,none,4,unknown / no property,51,none,for free,1,unskilled - resident,1,No,Yes
289,Yes,no checking account,15,delay in paying off in the past,radio/television,1478,< 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,3,real estate,33,bank,own,2,skilled employee / official,1,No,Yes
290,Yes,no checking account,12,critical account/ other credits existing (not at this bank),education,3565,unknown/ no savings account,< 1 year,2,male : single,none,1,building society savings agreement/ life insurance,37,none,own,2,unskilled - resident,2,No,Yes
291,Yes,no checking account,15,existing credits paid back duly till now,furniture/equipment,2221,500 <= ... < 1000 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,car or other,20,none,rent,1,skilled employee / official,1,No,Yes
292,Yes,no checking account,6,critical account/ other credits existing (not at this bank),radio/television,1898,unknown/ no savings account,1 <= ... < 4 years,1,male : single,none,2,real estate,34,none,own,2,unskilled - resident,2,No,Yes
293,Yes,0 <= ... < 200 DM,6,delay in paying off in the past,business,1449,100 <= ... < 500 DM,>= 7 years,1,male : divorced/separated,none,2,car or other,31,bank,own,2,skilled employee / official,2,No,Yes
294,Yes,no checking account,15,delay in paying off in the past,furniture/equipment,960,>= 1000 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,30,none,own,2,skilled employee / official,1,No,Yes
295,Yes,no checking account,36,existing credits paid back duly till now,car (used),8133,< 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,30,bank,own,1,skilled employee / official,1,No,Yes
296,Yes,no checking account,9,existing credits paid back duly till now,furniture/equipment,2301,100 <= ... < 500 DM,< 1 year,2,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,22,none,rent,1,skilled employee / official,1,No,Yes
297,Yes,no checking account,6,delay in paying off in the past,business,1743,100 <= ... < 500 DM,1 <= ... < 4 years,1,male : single,none,2,real estate,34,none,own,2,unskilled - resident,1,No,Yes
298,Yes,0 <= ... < 200 DM,12,existing credits paid back duly till now,furniture/equipment,983,>= 1000 DM,< 1 year,1,female : divorced/separated/married,none,4,real estate,19,none,rent,1,unskilled - resident,1,No,Yes
299,Yes,no checking account,18,delay in paying off in the past,radio/television,2320,< 100 DM,unemployed,2,male : married/widowed,none,3,real estate,34,none,own,2,skilled employee / official,1,No,Yes
300,Yes,... < 0 DM,12,all credits at this bank paid back duly,retraining,339,< 100 DM,>= 7 years,4,male : married/widowed,none,1,car or other,45,bank,own,1,unskilled - resident,1,No,Yes
301,Yes,... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,radio/television,5152,< 100 DM,4 <= ... < 7 years,4,male : single,none,2,car or other,25,bank,own,1,skilled employee / official,1,No,Yes
302,Yes,... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,furniture/equipment,3749,< 100 DM,< 1 year,2,female : divorced/separated/married,none,4,car or other,26,none,own,1,skilled employee / official,1,No,Yes
303,Yes,no checking account,9,critical account/ other credits existing (not at this bank),radio/television,3074,unknown/ no savings account,1 <= ... < 4 years,1,male : single,none,2,real estate,33,none,own,2,skilled employee / official,2,No,Yes
304,No,... >= 200 DM / salary assignments for at least 1 year,9,existing credits paid back duly till now,radio/television,745,< 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,real estate,28,none,own,1,unskilled - resident,1,No,Yes
305,Yes,no checking account,24,existing credits paid back duly till now,car (new),1469,100 <= ... < 500 DM,>= 7 years,4,male : married/widowed,none,4,real estate,41,none,rent,1,unskilled - resident,1,No,Yes
306,Yes,... < 0 DM,6,existing credits paid back duly till now,furniture/equipment,1374,< 100 DM,1 <= ... < 4 years,1,male : single,none,2,real estate,36,bank,own,1,unskilled - resident,1,Yes,Yes
307,Yes,no checking account,6,all credits at this bank paid back duly,car (new),783,unknown/ no savings account,1 <= ... < 4 years,1,male : single,guarantor,2,real estate,26,stores,own,1,unskilled - resident,2,No,Yes
308,Yes,... < 0 DM,21,existing credits paid back duly till now,radio/television,2606,< 100 DM,< 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,28,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
309,Yes,no checking account,54,no credits taken/ all credits paid back duly,car (used),9436,unknown/ no savings account,1 <= ... < 4 years,2,male : single,none,2,building society savings agreement/ life insurance,39,none,own,1,unskilled - resident,2,No,Yes
310,Yes,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,930,unknown/ no savings account,>= 7 years,4,male : single,none,4,real estate,65,none,own,4,skilled employee / official,1,No,Yes
311,Yes,no checking account,48,critical account/ other credits existing (not at this bank),car (used),2751,unknown/ no savings account,>= 7 years,4,male : single,none,3,car or other,38,none,own,2,skilled employee / official,2,Yes,Yes
312,Yes,no checking account,6,critical account/ other credits existing (not at this bank),car (new),250,>= 1000 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,real estate,41,bank,own,2,unskilled - resident,1,No,Yes
313,Yes,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),1201,< 100 DM,< 1 year,4,male : single,none,1,building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,1,No,Yes
314,Yes,... < 0 DM,6,existing credits paid back duly till now,car (new),662,< 100 DM,< 1 year,3,male : single,none,4,real estate,41,none,own,1,unskilled - resident,2,Yes,Yes
315,Yes,no checking account,15,existing credits paid back duly till now,car (used),1300,unknown/ no savings account,>= 7 years,4,male : single,none,4,unknown / no property,45,bank,for free,1,skilled employee / official,2,No,Yes
316,Yes,no checking account,24,all credits at this bank paid back duly,business,1559,< 100 DM,4 <= ... < 7 years,4,male : single,none,4,car or other,40,bank,own,1,skilled employee / official,1,Yes,Yes
317,Yes,... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,3016,< 100 DM,1 <= ... < 4 years,3,male : married/widowed,none,1,car or other,24,none,own,1,skilled employee / official,1,No,Yes
318,Yes,no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1360,< 100 DM,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/ life insurance,31,none,own,2,skilled employee / official,1,No,Yes
319,Yes,no checking account,6,no credits taken/ all credits paid back duly,car (new),1204,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,none,1,unknown / no property,35,bank,rent,1,skilled employee / official,1,No,No
320,Yes,no checking account,10,existing credits paid back duly till now,car (new),1597,500 <= ... < 1000 DM,1 <= ... < 4 years,3,male : single,none,2,unknown / no property,40,none,rent,1,unskilled - resident,2,No,No
321,Yes,no checking account,12,existing credits paid back duly till now,radio/television,2073,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,co-applicant,2,real estate,28,none,own,1,skilled employee / official,1,No,Yes
322,Yes,no checking account,11,existing credits paid back duly till now,business,2142,>= 1000 DM,>= 7 years,1,male : divorced/separated,none,2,real estate,28,none,own,1,skilled employee / official,1,Yes,Yes
323,Yes,... < 0 DM,10,critical account/ other credits existing (not at this bank),furniture/equipment,2132,unknown/ no savings account,< 1 year,2,female : divorced/separated/married,co-applicant,3,real estate,27,none,rent,2,skilled employee / official,1,No,No
324,Yes,no checking account,10,existing credits paid back duly till now,car (new),1546,< 100 DM,1 <= ... < 4 years,3,male : single,none,2,real estate,31,none,own,1,unskilled - resident,2,No,No
325,Yes,no checking account,24,critical account/ other credits existing (not at this bank),car (new),1287,>= 1000 DM,>= 7 years,4,female : divorced/separated/married,none,4,real estate,37,none,own,2,skilled employee / official,1,Yes,Yes
326,Yes,no checking account,10,existing credits paid back duly till now,car (new),1418,100 <= ... < 500 DM,1 <= ... < 4 years,3,male : single,none,2,real estate,35,none,rent,1,unskilled - resident,1,No,No
327,Yes,... >= 200 DM / salary assignments for at least 1 year,6,critical account/ other credits existing (not at this bank),car (new),1343,< 100 DM,>= 7 years,1,male : single,none,4,real estate,46,none,own,2,skilled employee / official,2,No,No
328,Yes,no checking account,18,existing credits paid back duly till now,car (new),2662,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,3,building society savings agreement/ life insurance,32,none,own,1,skilled employee / official,1,No,No
329,Yes,no checking account,18,critical account/ other credits existing (not at this bank),radio/television,6070,< 100 DM,>= 7 years,3,male : single,none,4,car or other,33,none,own,2,skilled employee / official,1,Yes,Yes
330,Yes,no checking account,24,critical account/ other credits existing (not at this bank),education,1927,unknown/ no savings account,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,car or other,33,none,own,2,skilled employee / official,1,Yes,Yes
331,Yes,no checking account,18,critical account/ other credits existing (not at this bank),radio/television,2404,< 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,car or other,26,none,own,2,skilled employee / official,1,No,Yes
332,Yes,no checking account,6,critical account/ other credits existing (not at this bank),radio/television,1554,< 100 DM,4 <= ... < 7 years,1,female : divorced/separated/married,none,2,car or other,24,none,rent,2,skilled employee / official,1,Yes,Yes
333,Yes,no checking account,22,existing credits paid back duly till now,car (new),1283,unknown/ no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,25,none,rent,1,skilled employee / official,1,No,Yes
334,Yes,no checking account,24,delay in paying off in the past,car (new),717,unknown/ no savings account,>= 7 years,4,male : married/widowed,none,4,car or other,54,none,own,2,skilled employee / official,1,Yes,Yes
335,Yes,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,1747,< 100 DM,< 1 year,4,male : single,co-applicant,1,building society savings agreement/ life insurance,24,none,own,1,unskilled - resident,1,No,No
336,Yes,... < 0 DM,9,critical account/ other credits existing (not at this bank),repairs,1288,100 <= ... < 500 DM,>= 7 years,3,male : single,guarantor,4,real estate,48,none,own,2,skilled employee / official,2,No,No
337,Yes,... < 0 DM,10,critical account/ other credits existing (not at this bank),car (new),1038,< 100 DM,4 <= ... < 7 years,4,male : single,co-applicant,3,building society savings agreement/ life insurance,49,none,own,2,skilled employee / official,1,Yes,Yes
338,Yes,no checking account,10,existing credits paid back duly till now,car (used),2848,100 <= ... < 500 DM,1 <= ... < 4 years,1,male : single,co-applicant,2,real estate,32,none,own,1,skilled employee / official,2,No,Yes
339,Yes,no checking account,12,existing credits paid back duly till now,car (used),1413,>= 1000 DM,4 <= ... < 7 years,3,male : single,none,2,building society savings agreement/ life insurance,55,none,own,1,skilled employee / official,1,No,No
340,Yes,no checking account,30,critical account/ other credits existing (not at this bank),radio/television,3077,unknown/ no savings account,>= 7 years,3,male : single,none,2,car or other,40,none,own,2,skilled employee / official,2,Yes,Yes
341,Yes,... < 0 DM,24,all credits at this bank paid back duly,car (used),3632,< 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,guarantor,4,car or other,22,bank,rent,1,skilled employee / official,1,No,No
342,Yes,no checking account,18,critical account/ other credits existing (not at this bank),car (used),3229,unknown/ no savings account,unemployed,2,male : single,none,4,unknown / no property,38,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
343,Yes,no checking account,9,existing credits paid back duly till now,car (new),3577,100 <= ... < 500 DM,1 <= ... < 4 years,1,male : single,guarantor,2,real estate,26,none,rent,1,skilled employee / official,2,No,No
344,Yes,no checking account,12,critical account/ other credits existing (not at this bank),car (new),682,100 <= ... < 500 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,car or other,51,none,own,2,skilled employee / official,1,Yes,Yes
345,Yes,no checking account,10,existing credits paid back duly till now,radio/television,1924,< 100 DM,1 <= ... < 4 years,1,male : single,none,4,building society savings agreement/ life insurance,38,none,own,1,skilled employee / official,1,Yes,No
346,Yes,no checking account,10,existing credits paid back duly till now,education,727,500 <= ... < 1000 DM,>= 7 years,4,male : single,none,4,unknown / no property,46,none,for free,1,skilled employee / official,1,Yes,Yes
347,Yes,... >= 200 DM / salary assignments for at least 1 year,10,critical account/ other credits existing (not at this bank),car (new),781,< 100 DM,>= 7 years,4,male : single,none,4,unknown / no property,63,none,for free,2,skilled employee / official,1,Yes,Yes
348,Yes,... < 0 DM,12,critical account/ other credits existing (not at this bank),car (new),2121,< 100 DM,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/ life insurance,30,none,own,2,skilled employee / official,1,No,Yes
349,Yes,no checking account,12,critical account/ other credits existing (not at this bank),education,701,< 100 DM,1 <= ... < 4 years,4,male : single,none,2,car or other,32,none,own,2,skilled employee / official,1,No,Yes
350,Yes,no checking account,10,critical account/ other credits existing (not at this bank),furniture/equipment,2069,unknown/ no savings account,1 <= ... < 4 years,2,male : married/widowed,none,1,car or other,26,none,own,2,skilled employee / official,1,No,No
351,Yes,no checking account,24,existing credits paid back duly till now,car (new),1525,>= 1000 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,car or other,34,none,own,1,skilled employee / official,2,Yes,Yes
352,Yes,no checking account,48,critical account/ other credits existing (not at this bank),business,7629,unknown/ no savings account,>= 7 years,4,male : divorced/separated,none,2,car or other,46,bank,own,2,management/ self-employed/ highly qualified employee/ officer,2,No,Yes
353,No,... < 0 DM,12,critical account/ other credits existing (not at this bank),car (new),3499,< 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,co-applicant,2,real estate,29,none,own,2,skilled employee / official,1,No,Yes
354,Yes,no checking account,6,existing credits paid back duly till now,radio/television,1346,100 <= ... < 500 DM,>= 7 years,2,male : single,none,4,unknown / no property,42,bank,for free,1,skilled employee / official,2,Yes,Yes
355,Yes,no checking account,36,critical account/ other credits existing (not at this bank),car (used),10477,unknown/ no savings account,>= 7 years,2,male : single,none,4,unknown / no property,42,none,for free,2,skilled employee / official,1,No,Yes
356,Yes,... < 0 DM,24,existing credits paid back duly till now,car (used),2924,< 100 DM,1 <= ... < 4 years,3,male : single,guarantor,4,unknown / no property,63,bank,own,1,skilled employee / official,2,Yes,Yes
357,Yes,no checking account,10,critical account/ other credits existing (not at this bank),car (new),1231,< 100 DM,>= 7 years,3,male : single,none,4,real estate,32,none,own,2,unskilled - resident,2,No,No
358,Yes,... >= 200 DM / salary assignments for at least 1 year,18,existing credits paid back duly till now,car (new),1961,< 100 DM,>= 7 years,3,female : divorced/separated/married,none,2,car or other,23,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,No,Yes
359,Yes,no checking account,15,critical account/ other credits existing (not at this bank),car (new),5045,unknown/ no savings account,>= 7 years,1,female : divorced/separated/married,none,4,car or other,59,none,own,1,skilled employee / official,1,Yes,Yes
360,Yes,no checking account,12,critical account/ other credits existing (not at this bank),car (new),1255,< 100 DM,>= 7 years,4,male : single,none,4,real estate,61,none,own,2,unskilled - resident,1,No,Yes
361,Yes,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,1858,< 100 DM,< 1 year,4,female : divorced/separated/married,none,1,car or other,22,none,rent,1,skilled employee / official,1,No,Yes
362,Yes,no checking account,6,critical account/ other credits existing (not at this bank),furniture/equipment,1221,unknown/ no savings account,1 <= ... < 4 years,1,male : married/widowed,none,2,building society savings agreement/ life insurance,27,none,own,2,skilled employee / official,1,No,Yes
363,Yes,no checking account,9,existing credits paid back duly till now,furniture/equipment,1388,< 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,26,none,rent,1,skilled employee / official,1,No,Yes
364,Yes,no checking account,12,existing credits paid back duly till now,radio/television,2279,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,4,unknown / no property,37,none,for free,1,skilled employee / official,1,Yes,Yes
365,Yes,no checking account,12,no credits taken/ all credits paid back duly,furniture/equipment,2759,< 100 DM,>= 7 years,2,male : single,none,4,building society savings agreement/ life insurance,34,none,own,2,skilled employee / official,1,No,Yes
366,Yes,... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,radio/television,1258,500 <= ... < 1000 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,3,car or other,57,none,own,1,unskilled - resident,1,No,Yes
367,Yes,0 <= ... < 200 DM,12,no credits taken/ all credits paid back duly,retraining,1410,< 100 DM,1 <= ... < 4 years,2,male : single,none,2,real estate,31,none,own,1,unskilled - resident,1,Yes,Yes
368,Yes,... < 0 DM,15,existing credits paid back duly till now,car (new),1403,< 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,car or other,28,none,rent,1,skilled employee / official,1,No,Yes
369,Yes,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,3021,< 100 DM,1 <= ... < 4 years,2,male : divorced/separated,none,2,real estate,24,none,rent,1,unskilled - resident,1,No,Yes
370,Yes,... < 0 DM,24,existing credits paid back duly till now,business,6568,< 100 DM,1 <= ... < 4 years,2,male : married/widowed,none,2,car or other,21,stores,own,1,unskilled - resident,1,No,Yes
371,Yes,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2578,>= 1000 DM,>= 7 years,2,male : single,none,2,car or other,34,none,own,1,skilled employee / official,1,No,Yes
372,Yes,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),car (used),7758,>= 1000 DM,>= 7 years,2,female : divorced/separated/married,none,4,unknown / no property,29,none,rent,1,skilled employee / official,1,No,Yes
373,Yes,... < 0 DM,6,existing credits paid back duly till now,domestic appliances,343,< 100 DM,< 1 year,4,female : divorced/separated/married,none,1,real estate,27,none,own,1,skilled employee / official,1,No,Yes
374,Yes,no checking account,21,delay in paying off in the past,furniture/equipment,1591,100 <= ... < 500 DM,4 <= ... < 7 years,4,male : single,none,3,real estate,34,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,No,Yes
375,Yes,... < 0 DM,27,existing credits paid back duly till now,radio/television,3416,< 100 DM,1 <= ... < 4 years,3,male : single,none,2,car or other,27,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,No,Yes
376,No,... < 0 DM,12,no credits taken/ all credits paid back duly,repairs,1108,< 100 DM,4 <= ... < 7 years,4,male : single,none,3,real estate,28,none,own,2,skilled employee / official,1,No,Yes
